twt_id,twt_created_at,twt_text,twt_rt_count,twt_source,twt_user_id,twt_user_location,twt_user_following,twt_user_screen_name,twt_user_friends_count,twt_user_statuses_count,twt_user_lang,twt_user_created_at
844928108654419968,Thu Mar 23 15:05:33 +0000 2017,#Brexit Interesting and useful contribution. Customs operate at borders dealing with traffic from CU  FTA  no FTAs.... ,0,,788854815325585409,Belgium,None,robmurphybe,142,1618,en-gb,23-03-2017
844928134168371204,Thu Mar 23 15:05:39 +0000 2017,  Why should people whose talents &amp; skills are valued elsewhere and who value open-mindedness &amp; tolerance stay after... ,0,,744585294129795073,GER+GB until it became Little,None,finchly,1990,9280,de,23-03-2017
844928160357634048,Thu Mar 23 15:05:46 +0000 2017, we owe nothing and we'll trade under WTO rules; suit you too Sir? #brexit,0,,999548917,London,None,dustythewestie,41,2357,en,23-03-2017
844928229702090752,Thu Mar 23 15:06:02 +0000 2017,  @FitOutConf Question - Does the panel think #Brexit will affect the Fit Out market within Ireland in the years ahead. #F...,0,,1230195181,Charleston  SC,None,DecodingDysSc,3443,16748,en,23-03-2017
844928237646090240,Thu Mar 23 15:06:04 +0000 2017,  VIDEO  L'immigration massive est voulue par les technocrates de Bruxelles. #Schengen est un echec t... ,0,,593656811,f,None,Sigaud3,1884,56941,fr,23-03-2017
844928263021584384,Thu Mar 23 15:06:10 +0000 2017,Quick! Before next Wednesday... #brexit ,0,,14786188,Leeds  UK,None,mrnick,1607,24879,en,23-03-2017
844928265206796288,Thu Mar 23 15:06:11 +0000 2017,  Currency and future trading relationship with UK - Two biggest issues with #Brexit - Jim Power @ASAireland,0,,270918732,Irish Farm Centre,None,ASAireland,620,2170,en,23-03-2017
844928291303833605,Thu Mar 23 15:06:17 +0000 2017,#HAT16 Arts News... is out!  Stories via @OxTweets @ClaireDyer1 @CassiopeiaKnits #brexit #seo,0,,1122517681,Henley on Thames  UK,None,HenleyArtsTrail,2077,3170,en,23-03-2017
844928306508152834,Thu Mar 23 15:06:20 +0000 2017,  Stephen Booth from @OpenEurope now addressing #FSB2017 national business show on #Brexit - what the next 2+ years h... ,0,,126016848,Here  there and everywhere !,None,BritWales,3141,22737,en,23-03-2017
844928307011432449,Thu Mar 23 15:06:21 +0000 2017,  An evenly divided country is absolutely not a basis for a massive change like #Brexit  let alone hard Brexit... ,0,,583113795,Oxfordshire,None,Peter190668,266,3988,en,23-03-2017
844928316217987073,Thu Mar 23 15:06:23 +0000 2017,SB from @OpenEurope - U.K. Leaving the customs union will mean significant change for small biz - paper work  cost #FSB2017 #Brexit,0,,10219042,London  UK,None,davidcgeary,1483,1680,en,23-03-2017
844928317304307717,Thu Mar 23 15:06:23 +0000 2017,Con el #Brexit ganamos todos !!!!,0,,789783728,PILAR  RFA,None,TedyFrontman,2174,40716,es,23-03-2017
844928333154529280,Thu Mar 23 15:06:27 +0000 2017,UK Column News - 17th Feb 2017  #blair #munich #brexit #child #abuse #BBC #andrew #wakefield,0,,379851447,London UK,None,Col_Connaughton,2016,1232581,en,23-03-2017
844928336623226889,Thu Mar 23 15:06:28 +0000 2017,  Whistleblower #DennisMontgomery Informed Us About #TheHammer#MAGA #pedogate #AmericaFirst #DrainTheSwamp... ,0,,18768055,Within the mind ,None,mahyuta,1844,24720,en,23-03-2017
844928347180322819,Thu Mar 23 15:06:30 +0000 2017,  #Brexit : quelles consequences ? Conference du 29 mars avec //t.co/hq5yqVYA6B ,0,,733212373620789248,Paris  France,None,CCEFormation,184,195,fr,23-03-2017
844928354516189186,Thu Mar 23 15:06:32 +0000 2017,He really is a prize buffoon ... #BorisJohnson #Brexit ,0,,152805197,... #CitizenOfTheWorld,None,roshbeth,2400,88161,en,23-03-2017
